Affiliations	Record Count	% of 13,573
NATIONAL AERONAUTICS SPACE ADMINISTRATION NASA	2879	21.211
UNIVERSITY OF CALIFORNIA SYSTEM	1250	9.209
CALIFORNIA INSTITUTE OF TECHNOLOGY	1052	7.751
NASA AMES RESEARCH CENTER	975	7.183
UDICE FRENCH RESEARCH UNIVERSITIES	875	6.447
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS	854	6.292
NASA JET PROPULSION LABORATORY JPL	749	5.518
NASA GODDARD SPACE FLIGHT CENTER	740	5.452
HARVARD UNIVERSITY	517	3.809
UNIVERSITY OF WASHINGTON	480	3.536
UNIVERSITY OF WASHINGTON SEATTLE	479	3.529
MASSACHUSETTS INSTITUTE OF TECHNOLOGY MIT	462	3.404
UNIVERSITY SYSTEM OF GEORGIA	460	3.389
PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION PCSHE	451	3.323
UNIVERSITY OF ARIZONA	435	3.205
HELMHOLTZ ASSOCIATION	422	3.109
PENNSYLVANIA STATE UNIVERSITY	417	3.072
UNIVERSITY OF HAWAII SYSTEM	414	3.050
CARNEGIE INSTITUTION FOR SCIENCE	411	3.028
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS CSIC	407	2.999
UNIVERSITY OF COLORADO SYSTEM	397	2.925
UNIVERSITY OF COLORADO BOULDER	395	2.910
PENNSYLVANIA STATE UNIVERSITY UNIVERSITY PARK	387	2.851
ARIZONA STATE UNIVERSITY	386	2.844
ARIZONA STATE UNIVERSITY TEMPE	380	2.800
GEORGIA INSTITUTE OF TECHNOLOGY	380	2.800
SETI INST	355	2.615
GERMAN AEROSPACE CENTRE DLR	345	2.542
UNITED STATES DEPARTMENT OF ENERGY DOE	339	2.498
SORBONNE UNIVERSITE	320	2.358
STATE UNIVERSITY SYSTEM OF FLORIDA	316	2.328
UNIVERSITY SYSTEM OF MARYLAND	303	2.232
UNIVERSITY OF WISCONSIN SYSTEM	302	2.225
SMITHSONIAN INSTITUTION	294	2.166
UNIVERSITY OF CALIFORNIA BERKELEY	292	2.151
UNIVERSITY OF CALIFORNIA RIVERSIDE	292	2.151
CSIC CENTRO DE ASTROBIOLOGIA INTA	281	2.070
CNRS NATIONAL INSTITUTE FOR EARTH SCIENCES ASTRONOMY INSU	280	2.063
RUSSIAN ACADEMY OF SCIENCES	278	2.048
UNIVERSITE PARIS CITE	278	2.048
UNIVERSITY OF TEXAS SYSTEM	272	2.004
UNIVERSITY OF WISCONSIN MADISON	252	1.857
UNIVERSITY OF TOKYO	240	1.768
YALE UNIVERSITY	238	1.753
MAX PLANCK SOCIETY	237	1.746
EUROPEAN SPACE AGENCY	224	1.650
TOKYO INSTITUTE OF TECHNOLOGY	223	1.643
JOHNS HOPKINS UNIVERSITY	213	1.569
UNIVERSITY OF MARYLAND COLLEGE PARK	213	1.569
UNIVERSITY OF LONDON	211	1.555
MONTANA STATE UNIVERSITY BOZEMAN	210	1.547
MONTANA STATE UNIVERSITY SYSTEM	210	1.547
NATIONAL INSTITUTES OF NATURAL SCIENCES NINS JAPAN	210	1.547
UNIVERSITE PARIS SACLAY	209	1.540
UNIVERSITY OF CALIFORNIA LOS ANGELES	201	1.481
PRINCETON UNIVERSITY	198	1.459
PSL RESEARCH UNIVERSITY PARIS	196	1.444
OPEN UNIVERSITY UK	194	1.429
UNIVERSITY OF HAWAII MANOA	192	1.415
LEIDEN UNIVERSITY	188	1.385
NATIONAL ASTRONOMICAL OBSERVATORY OF JAPAN NAOJ	188	1.385
UNIVERSITY SYSTEM OF OHIO	187	1.378
ISTITUTO NAZIONALE ASTROFISICA INAF	183	1.348
LEIDEN UNIVERSITY EXCL LUMC	181	1.334
CHINESE ACADEMY OF SCIENCES	178	1.311
UNIVERSITY OF EDINBURGH	178	1.311
SMITHSONIAN ASTROPHYSICAL OBSERVATORY	171	1.260
OBSERVATOIRE DE PARIS	167	1.230
UNIVERSITY OF TEXAS AUSTIN	166	1.223
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO	165	1.216
UNIVERSITY OF CALIFORNIA SANTA CRUZ	162	1.194
UNIVERSITY OF ILLINOIS SYSTEM	161	1.186
UNIVERSITY OF CALIFORNIA SAN DIEGO	159	1.171
BLUE MARBLE SPACE INST SCI	157	1.157
UNIVERSITY OF CHICAGO	157	1.157
UNIVERSITY OF FLORIDA	157	1.157
UNIVERSITY OF SOUTHERN CALIFORNIA	156	1.149
STANFORD UNIVERSITY	153	1.127
UNIVERSITY COLLEGE LONDON	153	1.127
UNIVERSITY OF ST ANDREWS	152	1.120
ASTROBIOLOGY CENTER ABC	151	1.113
CALIFORNIA STATE UNIVERSITY SYSTEM	143	1.054
CORNELL UNIVERSITY	137	1.009
WOODS HOLE OCEANOGRAPHIC INSTITUTION	133	0.980
CATHOLIC UNIVERSITY OF AMERICA	132	0.973
UNITED STATES DEPARTMENT OF THE INTERIOR	130	0.958
UNITED STATES GEOLOGICAL SURVEY	129	0.950
NASA JOHNSON SPACE CENTER	128	0.943
UNIVERSITY OF ILLINOIS URBANA CHAMPAIGN	128	0.943
CHINA UNIVERSITY OF GEOSCIENCES	125	0.921
UNIVERSITY OF MICHIGAN	122	0.899
UNIVERSITY OF MICHIGAN SYSTEM	122	0.899
VIRGINIA POLYTECHNIC INSTITUTE STATE UNIVERSITY	122	0.899
MCGILL UNIVERSITY	121	0.891
NEVADA SYSTEM OF HIGHER EDUCATION NSHE	121	0.891
UNIVERSITY OF CINCINNATI	121	0.891
UNIVERSITY OF OXFORD	117	0.862
WASHINGTON UNIVERSITY WUSTL	117	0.862
UNIVERSITY OF TORONTO	115	0.847
UNIVERSITE PARIS EST CRETEIL VAL DE MARNE UPEC	114	0.840
COMMUNAUTE UNIVERSITE GRENOBLE ALPES	109	0.803
IMPERIAL COLLEGE LONDON	109	0.803
