Publication Years	Record Count	% of 13,566
2019	896	6.605
2020	796	5.868
2015	787	5.801
2018	755	5.565
2011	726	5.352
2017	710	5.234
2012	707	5.212
2021	695	5.123
2010	692	5.101
2013	682	5.027
2016	656	4.836
2014	645	4.755
2022	638	4.703
2006	605	4.460
2009	563	4.150
2004	492	3.627
2007	486	3.582
2008	440	3.243
2005	432	3.184
2002	297	2.189
2001	195	1.437
2000	191	1.408
2003	130	0.958
1998	120	0.885
1999	67	0.494
1995	63	0.464
1997	16	0.118
1993	12	0.088
1994	10	0.074
1996	9	0.066
2023	7	0.052
1992	6	0.044
1966	5	0.037
1984	5	0.037
1986	4	0.029
1967	3	0.022
1972	3	0.022
1965	2	0.015
1969	2	0.015
1978	2	0.015
1985	2	0.015
1991	2	0.015
1939	1	0.007
1940	1	0.007
1960	1	0.007
1963	1	0.007
1970	1	0.007
1974	1	0.007
1975	1	0.007
1983	1	0.007
1988	1	0.007
1990	1	0.007
