Affiliations	Record Count	% of 1,109
NATIONAL AERONAUTICS SPACE ADMINISTRATION NASA	154	13.886
CHINA ASTRONAUT RES TRAINING CTR	134	12.083
NASA JOHNSON SPACE CENTER	87	7.845
BAYLOR COLLEGE OF MEDICINE	44	3.968
UNIVERSITY OF TEXAS SYSTEM	43	3.877
RUSSIAN ACADEMY OF SCIENCES	42	3.787
INSTITUTE OF BIOMEDICAL PROBLEMS OF THE RUSSIAN ACADEMY OF SCIENCES	37	3.336
UNIVERSITY OF CALIFORNIA SYSTEM	33	2.976
CHINESE ACADEMY OF SCIENCES	32	2.885
CHINESE PEOPLE S LIBERATION ARMY GENERAL HOSPITAL	31	2.795
GERMAN AEROSPACE CENTRE DLR	28	2.525
HELMHOLTZ ASSOCIATION	28	2.525
EUROPEAN SPACE AGENCY	24	2.164
UNIVERSITY OF LONDON	23	2.074
UNIVERSITY OF TEXAS MEDICAL BRANCH GALVESTON	23	2.074
UNIVERSITY SYSTEM OF OHIO	21	1.894
ZHEJIANG UNIVERSITY	21	1.894
CHINESE ASTRONAUT RES TRAINING CTR	19	1.713
HARVARD UNIVERSITY	19	1.713
AIR FORCE MILITARY MEDICAL UNIVERSITY	18	1.623
BEIJING INSTITUTE OF TECHNOLOGY	18	1.623
CHINESE ACADEMY OF MEDICAL SCIENCES PEKING UNION MEDICAL COLLEGE	18	1.623
HARBIN INSTITUTE OF TECHNOLOGY	18	1.623
UNIVERSITY OF CINCINNATI	17	1.533
UNIVERSITY OF COLOGNE	17	1.533
UNIVERSITY OF HOUSTON	17	1.533
UNIVERSITY OF HOUSTON SYSTEM	17	1.533
BEIJING UNIVERSITY OF TECHNOLOGY	16	1.443
KING S COLLEGE LONDON	16	1.443
NASA AMES RESEARCH CENTER	16	1.443
PEKING UNION MEDICAL COLLEGE	16	1.443
UNIVERSITY OF PENNSYLVANIA	15	1.353
UNIVERSITY OF CALGARY	14	1.262
UNIVERSITY OF CHINESE ACADEMY OF SCIENCES CAS	14	1.262
CAPITAL MEDICAL UNIVERSITY	13	1.172
HEBEI NORMAL UNIVERSITY	13	1.172
INT SPACE UNIV	13	1.172
JAPAN AEROSPACE EXPLORATION AGENCY JAXA	13	1.172
NORTHWESTERN POLYTECHNICAL UNIVERSITY	13	1.172
PEKING UNIVERSITY	13	1.172
STATE UNIVERSITY SYSTEM OF FLORIDA	13	1.172
THE METHODIST HOSPITAL HOUSTON	12	1.082
THE METHODIST HOSPITAL SYSTEM	12	1.082
UNIVERSITIES SPACE RESEARCH ASSOCIATION USRA	12	1.082
UNIVERSITY OF CALIFORNIA SAN DIEGO	12	1.082
WYLE LABS	12	1.082
HARVARD MEDICAL SCHOOL	11	0.992
MASSACHUSETTS INSTITUTE OF TECHNOLOGY MIT	11	0.992
UNITED STATES DEPARTMENT OF DEFENSE	11	0.992
UNITED STATES DEPARTMENT OF ENERGY DOE	11	0.992
UNIVERSITY OF TEXAS HEALTH SCIENCE CENTER HOUSTON	11	0.992
BEIJING GENOMICS INSTITUTE BGI	10	0.902
CALIFORNIA INSTITUTE OF TECHNOLOGY	10	0.902
CORNELL UNIVERSITY	10	0.902
INSTITUTE OF MEDICINAL PLANT DEVELOPMENT CAMS	10	0.902
UDICE FRENCH RESEARCH UNIVERSITIES	10	0.902
UTMD ANDERSON CANCER CENTER	10	0.902
XI AN JIAOTONG UNIVERSITY	10	0.902
AARHUS UNIVERSITY	9	0.812
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS	9	0.812
CHINA AGRICULTURAL UNIVERSITY	9	0.812
EMORY UNIVERSITY	9	0.812
KBR GMBH	9	0.812
NASA GLENN RESEARCH CENTER	9	0.812
OTTO VON GUERICKE UNIVERSITY	9	0.812
PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION PCSHE	9	0.812
PENNSYLVANIA MEDICINE	9	0.812
RUPRECHT KARLS UNIVERSITY HEIDELBERG	9	0.812
SOUTHEAST UNIVERSITY CHINA	9	0.812
UNIVERSITY OF BRITISH COLUMBIA	9	0.812
UNIVERSITY OF CALIFORNIA SAN FRANCISCO	9	0.812
UNIVERSITY OF COLORADO SYSTEM	9	0.812
UNIVERSITY OF FLORIDA	9	0.812
CANADIAN SPACE AGENCY	8	0.721
CHINESE ASTRONAUT SCI RESEARCHING TRAINING CTR	8	0.721
FREE UNIVERSITY OF BERLIN	8	0.721
IMPERIAL COLLEGE LONDON	8	0.721
INST AVIAT MED	8	0.721
INSTITUT NATIONAL DE LA SANTE ET DE LA RECHERCHE MEDICALE INSERM	8	0.721
MASSACHUSETTS GENERAL HOSPITAL	8	0.721
NASA JET PROPULSION LABORATORY JPL	8	0.721
TEXAS A M UNIVERSITY COLLEGE STATION	8	0.721
TEXAS A M UNIVERSITY SYSTEM	8	0.721
UNITED STATES AIR FORCE	8	0.721
UNIVERSITE D ANGERS	8	0.721
BEIHANG UNIVERSITY	7	0.631
MAX PLANCK SOCIETY	7	0.631
MCGILL UNIVERSITY	7	0.631
NASA LANGLEY RESEARCH CENTER	7	0.631
NATIONAL INSTITUTES OF HEALTH NIH USA	7	0.631
NORTHUMBRIA UNIVERSITY	7	0.631
ONTARIO TECH UNIVERSITY	7	0.631
SOOCHOW UNIVERSITY CHINA	7	0.631
STANFORD UNIVERSITY	7	0.631
UNIVERSITY COLLEGE LONDON	7	0.631
WRIGHT STATE UNIVERSITY DAYTON	7	0.631
BRIGHAM WOMEN S HOSPITAL	6	0.541
CENTRE HOSPITALIER UNIVERSITAIRE D ANGERS	6	0.541
CHARITE UNIVERSITATSMEDIZIN BERLIN	6	0.541
CONSIGLIO NAZIONALE DELLE RICERCHE CNR	6	0.541
GERMAN SPORT UNIVERSITY COLOGNE	6	0.541
HUMBOLDT UNIVERSITY OF BERLIN	6	0.541
KBR	6	0.541
SHANGHAI JIAO TONG UNIVERSITY	6	0.541
TEXAS A M HEALTH SCIENCE CENTER	6	0.541
TSINGHUA UNIVERSITY	6	0.541
UNIVERSITY OF ARIZONA	6	0.541
UNIVERSITY OF BONN	6	0.541
UNIVERSITY OF CALIFORNIA DAVIS	6	0.541
UNIVERSITY OF CAMBRIDGE	6	0.541
UNIVERSITY OF COLORADO BOULDER	6	0.541
UNIVERSITY OF IOWA	6	0.541
UNIVERSITY OF QUEENSLAND	6	0.541
WYLE INTEGRATED SCI ENGN	6	0.541
ACADEMY OF MILITARY MEDICAL SCIENCES CHINA	5	0.451
AEROSP MED ASSOC	5	0.451
COASTAL EYE ASSOCIATES	5	0.451
COLORADO STATE UNIVERSITY	5	0.451
COLUMBIA UNIVERSITY	5	0.451
CTR NATL ETUD SPATIALES	5	0.451
HENRY FORD HEALTH SYSTEM	5	0.451
ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI	5	0.451
J CRAIG VENTER INSTITUTE	5	0.451
JOHNS HOPKINS UNIVERSITY	5	0.451
KANSAS STATE UNIVERSITY	5	0.451
KBRWYLE	5	0.451
KU LEUVEN	5	0.451
LAWRENCE BERKELEY NATIONAL LABORATORY	5	0.451
RUTGERS STATE UNIVERSITY NEW BRUNSWICK	5	0.451
SICHUAN UNIVERSITY	5	0.451
UNIVERSITY OF CALIFORNIA BERKELEY	5	0.451
UNIVERSITY OF HAMBURG	5	0.451
UNIVERSITY OF OTTAWA	5	0.451
UNIVERSITY OF OXFORD	5	0.451
UNIVERSITY OF TECHNOLOGY SYDNEY	5	0.451
UNIVERSITY OF TORONTO	5	0.451
WYLE SCI TECHNOL ENGN GRP	5	0.451
ADDENBROOKE S HOSPITAL	4	0.361
ASTRONAUT RES TRAINING CTR CHINA	4	0.361
BEIJING INSTITUTE OF MICROBIOLOGY EPIDEMIOLOGY	4	0.361
BIOASTRONAUT SPACE MECHATRON RES GRP	4	0.361
CAMBRIDGE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST	4	0.361
