Publication Years	Record Count	% of 1,109
2021	85	7.665
2022	74	6.673
2020	66	5.951
2015	59	5.320
2017	59	5.320
1994	56	5.050
2018	55	4.959
2013	54	4.869
2019	53	4.779
2012	52	4.689
2014	52	4.689
2016	51	4.599
2011	43	3.877
2009	22	1.984
2001	20	1.803
2010	20	1.803
2007	17	1.533
1991	15	1.353
2005	15	1.353
2002	14	1.262
2006	14	1.262
2008	13	1.172
1998	12	1.082
1965	10	0.902
1967	10	0.902
1999	10	0.902
2000	10	0.902
1964	8	0.721
1986	8	0.721
1993	8	0.721
1996	8	0.721
1997	8	0.721
2004	8	0.721
1966	7	0.631
1990	6	0.541
2003	6	0.541
1970	5	0.451
1979	5	0.451
1987	5	0.451
1992	5	0.451
1963	4	0.361
1969	4	0.361
1973	4	0.361
1983	4	0.361
1988	4	0.361
1995	4	0.361
1958	3	0.271
1962	3	0.271
1968	3	0.271
1978	3	0.271
1989	3	0.271
2023	3	0.271
1971	2	0.180
1972	2	0.180
1982	2	0.180
1984	2	0.180
1952	1	0.090
1953	1	0.090
1957	1	0.090
1959	1	0.090
1961	1	0.090
1974	1	0.090
1976	1	0.090
1977	1	0.090
1980	1	0.090
1981	1	0.090
1985	1	0.090
