Affiliations	Record Count	% of 299
NATIONAL AERONAUTICS SPACE ADMINISTRATION NASA	48	16.054
BEIHANG UNIVERSITY	26	8.696
UNIVERSITY OF NAPLES FEDERICO II	22	7.358
STATE UNIVERSITY SYSTEM OF FLORIDA	18	6.020
NASA JOHNSON SPACE CENTER	17	5.686
UNIVERSITY OF FLORIDA	16	5.351
GERMAN AEROSPACE CENTRE DLR	14	4.682
HELMHOLTZ ASSOCIATION	14	4.682
CHINESE ACADEMY OF SCIENCES	13	4.348
RUSSIAN ACADEMY OF SCIENCES	13	4.348
UNIVERSITE CLERMONT AUVERGNE UCA	13	4.348
BIOPHYSICS INSTITUTE SIBERIAN BRANCH RUSSIAN ACADEMY OF SCIENCES	12	4.013
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS	12	4.013
KRASNOYARSK SCIENCE CENTER OF THE SIBERIAN BRANCH OF THE RUSSIAN ACADEMY OF SCIENCES	12	4.013
UNIVERSITY OF COLORADO BOULDER	10	3.344
UNIVERSITY OF COLORADO SYSTEM	10	3.344
RUHR UNIVERSITY BOCHUM	9	3.010
EUROPEAN SPACE AGENCY	8	2.676
UNIVERSITY OF GUELPH	8	2.676
BOEING	7	2.341
CHINA ASTRONAUT RES TRAINING CTR	7	2.341
TECHNICAL UNIVERSITY OF MUNICH	7	2.341
DYNAMAC CORPORATION	6	2.007
UNIVERSITY SYSTEM OF GEORGIA	6	2.007
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS CSIC	5	1.672
GEORGIA INSTITUTE OF TECHNOLOGY	5	1.672
JAPAN AEROSPACE EXPLORATION AGENCY JAXA	5	1.672
NASA MARSHALL SPACE FLIGHT CENTER	5	1.672
PURDUE UNIVERSITY	5	1.672
PURDUE UNIVERSITY SYSTEM	5	1.672
PURDUE UNIVERSITY WEST LAFAYETTE CAMPUS	5	1.672
UNIVERSITY OF BAYREUTH	5	1.672
AIRBUS	4	1.338
AUTONOMOUS UNIVERSITY OF BARCELONA	4	1.338
CONSIGLIO NAZIONALE DELLE RICERCHE CNR	4	1.338
ITALIAN NATIONAL AGENCY NEW TECHNICAL ENERGY SUSTAINABLE ECONOMICS DEVELOPMENT	4	1.338
UNIVERSITY OF ARIZONA	4	1.338
UNIVERSITY OF CALIFORNIA SYSTEM	4	1.338
BELGIAN NUCLEAR RESEARCH CENTRE SCK CEN	3	1.003
BIONET CORP	3	1.003
CSIC CENTRO DE INVESTIGACIONES BIOLOGICAS CIB	3	1.003
CTR UTILIZAT BIOL ENGN SPACE	3	1.003
DORNIER SYST GMBH	3	1.003
EADS CONSTRUCCIONES AERONAUTICAS SA	3	1.003
GHENT UNIVERSITY	3	1.003
INDIAN INSTITUTE OF TECHNOLOGY IIT KHARAGPUR	3	1.003
INDIAN INSTITUTE OF TECHNOLOGY SYSTEM IIT SYSTEM	3	1.003
MEDES	3	1.003
NASA AMES RESEARCH CENTER	3	1.003
OSAKA METROPOLITAN UNIVERSITY	3	1.003
QINETIQ GROUP PLC	3	1.003
SAPIENZA UNIVERSITY ROME	3	1.003
SHANGHAI INSTITUTE OF CERAMICS CAS	3	1.003
TEXAS A M UNIVERSITY COLLEGE STATION	3	1.003
TEXAS A M UNIVERSITY SYSTEM	3	1.003
THALES GROUP	3	1.003
UNIVERSITY OF BREMEN	3	1.003
UNIVERSITY OF CALIFORNIA BERKELEY	3	1.003
UNIVERSITY OF MISSISSIPPI	3	1.003
UTAH STATE UNIVERSITY	3	1.003
UTAH SYSTEM OF HIGHER EDUCATION	3	1.003
4FRONTIERS CORP	2	0.669
AMENTUM SERV INC	2	0.669
CORNELL UNIVERSITY	2	0.669
CSIC CENTRO DE ASTROBIOLOGIA INTA	2	0.669
HAMILTON SUNDSTRAND	2	0.669
KBRWYLE	2	0.669
LAWRENCE BERKELEY NATIONAL LABORATORY	2	0.669
M G KHOLODNY INSTITUTE OF BOTANY NAS OF UKRAINE	2	0.669
MASSACHUSETTS INSTITUTE OF TECHNOLOGY MIT	2	0.669
MIAMI UNIVERSITY	2	0.669
MUSEUM NATIONAL D HISTOIRE NATURELLE MNHN	2	0.669
NANJING NORMAL UNIVERSITY	2	0.669
NASA GODDARD SPACE FLIGHT CENTER	2	0.669
