Publication Years	Record Count	% of 299
2021	42	14.047
2019	17	5.686
2022	16	5.351
2009	15	5.017
2014	14	4.682
2018	14	4.682
2020	14	4.682
1997	13	4.348
2017	13	4.348
2013	11	3.679
2015	11	3.679
2008	10	3.344
2016	9	3.010
1994	8	2.676
2011	8	2.676
2003	7	2.341
2012	7	2.341
2002	6	2.007
2005	6	2.007
2023	6	2.007
2000	5	1.672
2004	5	1.672
2006	5	1.672
2007	5	1.672
1995	4	1.338
2001	4	1.338
2010	4	1.338
1990	3	1.003
1996	3	1.003
1972	2	0.669
1986	2	0.669
1991	2	0.669
1999	2	0.669
1965	1	0.334
1973	1	0.334
1978	1	0.334
1979	1	0.334
1992	1	0.334
1993	1	0.334
